date,open,high,low,close,volume
1/26/2018,136.13,139.25,136.13,138.24,2008646
1/29/2018,138.06,139.67,137.315,138.89,983072
1/30/2018,138.06,141.24,137.51,140.95,1130554
1/31/2018,140.89,144.61,140.28,144.54,1287009
2/1/2018,144.57,146,143.4,145.03,1165640
2/2/2018,142.84,145.36,142.83,144.13,1235409
2/5/2018,142.55,143.94,136.14,136.18,1287153
2/6/2018,133.58,140.07,133.14,139.73,1385675
2/7/2018,139.16,142.46,138.98,141.39,933167
2/8/2018,141.42,141.66,137.24,137.25,988641
2/9/2018,138.81,139.69,134.83,138.64,982388
2/12/2018,139.55,141.14,138.18,140.15,622824
2/13/2018,133.89,142.75,133.89,142.43,643178
2/14/2018,141.76,144.31,141.07,143.5,684950
2/15/2018,144.67,145.85,143,145.39,639532
2/16/2018,144.84,146.06,144.64,145.03,457999
2/20/2018,143.99,145.405,142.97,143.04,768392
2/21/2018,143.41,146.51,142.88,144.66,660779
2/22/2018,145.22,146.31,143.45,143.87,632707
2/23/2018,144.65,147.36,144.57,147.33,470123
2/26/2018,147.86,151.33,147.47,151.03,943998
2/27/2018,151.54,153.08,150.4725,150.84,1129617
2/28/2018,151.81,151.81,148.5,148.52,852992
3/1/2018,148.81,149.24,145.74,146.55,662974
3/2/2018,145.21,148.57,145.21,148.34,511898
3/5/2018,147.67,151.16,146.875,150.84,775985
3/6/2018,151.83,152.61,150.86,152.14,381428
3/7/2018,150.83,153.91,150.83,153.32,657639
3/8/2018,153.25,153.25,144.12,147.06,1433169
3/9/2018,148.2,149.77,145.94,147.48,919354
3/12/2018,147.98,148.29,146.28,146.78,665312
3/13/2018,147.75,148.86,146.67,147.84,801799
3/14/2018,148.54,149.36,147.3,147.92,601899
3/15/2018,148.14,149.3,146.74,148.15,622895
3/16/2018,148.24,150.21,147.41,148.18,838400
3/19/2018,147.46,148.76,145.84,146.8,515831
3/20/2018,147.11,149.32,147.11,148.9,490250
3/21/2018,149.3,151.07,148.3,149.55,591183
3/22/2018,148.24,149.43,146.24,146.27,511543
